ID,Curved,Cores
0,1,3
1,1,3
2,1,1
3,1,3
4,1,1
5,1,3
6,1,2
7,1,2
8,1,3
9,1,1
10,1,2
11,1,3
12,1,2
13,1,1
14,1,1
15,1,3
16,1,3
17,1,4
18,1,3
19,1,1
20,1,2
21,1,1
22,1,1
23,1,2
24,1,2
25,1,2
26,1,3
27,1,1
28,1,3
29,1,1
30,1,2
31,1,1
32,1,1
33,1,3
34,1,2
35,1,2
36,1,2
37,1,4
38,1,2
39,1,1
40,1,2
41,1,2
42,1,2
43,1,3
44,1,1
45,1,3
46,1,2
47,1,3
48,1,3
49,1,3
50,1,1
51,1,2
52,1,1
53,1,1
54,1,2
55,1,1
56,1,1
57,1,2
58,1,1
59,1,1
60,1,2
61,1,2
62,1,1
63,1,3
64,1,3
65,1,2
66,1,1
67,1,2
68,1,2
69,1,2
70,1,2
71,1,2
72,1,2
73,1,2
74,1,1
75,1,2
76,1,1
77,1,3
78,1,1
79,1,2
80,1,1
81,1,1
82,1,3
83,1,2
84,1,3
85,1,2
86,1,1
87,1,2
88,1,2
89,1,1
90,1,2
91,1,3
92,1,2
93,1,2
94,1,2
95,1,3
96,1,2
97,1,1
98,1,2
99,1,2
100,1,2
101,1,2
102,1,1
103,1,2
104,1,1
105,1,3
106,1,1
107,1,3
108,1,2
109,1,3
110,1,2
111,1,1
112,0,1
113,1,2
114,1,2
115,1,3
116,1,3
117,1,2
118,1,1
119,1,2
120,1,2
121,1,2
122,1,1
123,1,3
124,1,2
125,1,2
126,1,2
127,1,2
128,1,1
129,1,1
130,1,2
131,1,3
132,1,3
133,1,2
134,1,2
135,1,1
136,1,2
137,1,3
138,1,1
139,1,2
140,1,3
141,1,2
142,1,2
143,1,1
144,1,1
145,1,2
146,1,3
147,1,2
148,1,3
149,1,1
150,1,1
151,1,3
152,1,1
153,1,3
154,1,1
155,1,2
156,1,1
157,1,3
158,1,2
159,1,2
160,1,2
161,1,3
162,1,1
163,1,1
164,1,2
165,1,1
166,1,2
167,1,2
168,1,1
169,1,2
170,1,1
171,1,1
172,1,1
173,1,2
174,1,2
175,1,2
176,1,2
177,1,1
178,1,2
179,1,2
180,1,2
181,1,2
182,1,2
183,1,2
184,1,2
185,1,3
186,1,4
187,1,2
188,1,2
189,1,4
190,1,1
191,1,1
192,1,2
193,1,1
194,1,1
195,1,1
196,1,2
197,1,1
198,1,3
199,1,1
200,1,1
201,1,2
202,1,2
203,1,2
204,1,1
205,1,1
206,1,2
207,1,3
208,1,2
209,1,2
210,1,4
211,1,2
212,0,1
213,0,1
214,0,1
215,0,1
216,0,1
217,0,1
218,0,1
219,0,1
220,0,1
221,0,1
222,0,1
223,0,1
224,0,1
225,0,1
226,0,1
227,0,1
228,0,1
229,0,1
230,0,1
231,0,1
232,0,1
233,0,1
234,0,1
235,0,1
236,0,1
237,0,1
238,0,1
239,0,1
240,0,1
241,0,1
242,0,1
243,0,1
244,0,1
245,0,1
246,0,1
247,0,1
248,0,1
249,0,1
250,0,1
251,0,1
252,0,1
253,0,1
254,0,1
255,0,1
256,0,1
257,0,1
258,0,1
259,0,1
260,0,1
261,0,1
262,0,1
263,0,1
264,0,1
265,0,1
266,0,1
267,0,1
268,0,1
269,0,1
270,0,1
271,0,1
272,0,1
273,0,1
274,0,1
275,0,1
276,0,1
277,0,1
278,0,1
279,0,1
280,0,1
281,0,1
